#Mod_Status,#Mod_Name,#Nexus_ID,#Mod_Nexus_URL,#Mod_Version,#Download_File_Name
+,DLC: HearthFires,-1,,,
+,DLC: Dragonborn,-1,,,
+,DLC: Dawnguard,-1,,,
+,FUS Boot Files,-1,,,
+,SKSE files,0,,2.0.12.0,sksevr_2_00_12.7z
+,VR Address Library for SKSEVR,58101,https://www.nexusmods.com/skyrimspecialedition/mods/58101,0.169.0.0,VR Address Library-58101-0-169-0-1741930516.7z
+,Skyrim SE 3D Sound (X3DAudio HRTF),1897,https://www.nexusmods.com/skyrimspecialedition/mods/1897,d2024.2.23.0,Skyrim SE 3D Sound (X3DAudio HRTF)-1897-1-0.zip
+,Engine Fixes VR,62089,https://www.nexusmods.com/skyrimspecialedition/mods/62089,1.26.0.0,Engine Fixes VR v1.26-62089-v1-26-1714050603.zip
+,Community Shaders - Core files,86492,https://www.nexusmods.com/skyrimspecialedition/mods/86492,0.8.7.0,Community Shaders-86492-0-8-7-1711724610.zip
+,CS - Low Cost - Grass Lighting - REQUIRED for Azurite Weathers,86502,https://www.nexusmods.com/skyrimspecialedition/mods/86502,1.4.1.0,Grass Lighting-86502-1-4-1-1710527085.zip
+,CS - Medium Cost - Light Limit Fix - REQUIRED for many of our mods in the RO section (blue),99548,https://www.nexusmods.com/skyrimspecialedition/mods/99548,1.3.0.0,Light Limit Fix-99548-1-3-0-1710526925.zip
+,Skyrim VR ESL Support,106712,https://www.nexusmods.com/skyrimspecialedition/mods/106712,1.2.0.0,Skyrim VR ESL-106712-1-2-1710128225.zip
+,CS - Low Cost - Grass Collision,87816,https://www.nexusmods.com/skyrimspecialedition/mods/87816,1.2.0.0,Grass Collision-87816-1-2-0-1699907575.7z
+,ReShade - Low cost - The Sharper Eye,-1,,,
+,DUMMY PLUGINS (only relevant to preserve load order if you change stuff),0,,,
+,Cleaned Master Files,31673,https://www.nexusmods.com/skyrimspecialedition/mods/31673,1.2.0.0,Skyrim VR Core USSEP 4.2.1 and SSE 1.5.97 Compatibility.zip
+,Unofficial Skyrim Special Edition Patch,266,https://www.nexusmods.com/skyrimspecialedition/mods/266,4.2.5.0b,Unofficial Skyrim Special Edition Patch-266-4-2-5b-1623727189.7z
+,USSEP_WhiterunGuardRevert,0,,d2024.5.2.0,C:/Users/Marius/Downloads/USSEP_WhiterunGuardRevert.7z
+,Skyrim VR USSEP Dwarven Ballista missing texture fix,18722,https://www.nexusmods.com/skyrimspecialedition/mods/18722,1.0.0.0,Skyrim VR Dwarven Ballista Texture Fix-18722-1-0.7z
+,Scripts Carefully Reworked Optimized and Tactfully Enhanced (SCROTE) - Simply Optimized Scripts AIO,97155,https://www.nexusmods.com/skyrimspecialedition/mods/97155,1.0.2.0,SCROTE Loose Files Version-97155-1-0-2-1714948591.7z
+,Capture Warmer (Dynamic Cubemaps),103900,https://www.nexusmods.com/skyrimspecialedition/mods/103900,1.1.0.0,Capture Warmer-103900-1-1-0-1699231328.zip
+,Sky Reflection Fix,110604,https://www.nexusmods.com/skyrimspecialedition/mods/110604,1.0.1.0,Sky Reflection Fix-110604-1-0-1-1706805413.zip
+,Cubemap Reflections,103077,https://www.nexusmods.com/skyrimspecialedition/mods/103077,1.1.0.0,Cubemap Reflections 1.1.0-103077-1-1-0-1698216614.zip
+,Auto Parallax,79473,https://www.nexusmods.com/skyrimspecialedition/mods/79473,1.0.27.0,Auto Parallax-79473-1-0-27-1669777275.zip
+,Poached Bugs VR,107053,https://www.nexusmods.com/skyrimspecialedition/mods/107053,0.5.0.0,Poached Bugs VR Core File-107053-0-5-0-1725244654.7z
+,PrivateProfileRedirector SE - Faster game start (INI file cacher),18860,https://www.nexusmods.com/skyrimspecialedition/mods/18860,0.6.2.0,PrivateProfileRedirector VR 0.6.2 (Runtime 1.4.15)-18860-0-6-2-1727798816.zip
+,Instantly Skip Dialogue NG,89163,https://www.nexusmods.com/skyrimspecialedition/mods/89163,1.1.1.0,Instantly Skip Dialogue NG-89163-1-1-1-1693399775.zip
+,Dual Casting Fix VR,92804,https://www.nexusmods.com/skyrimspecialedition/mods/92804,1.0.0.0,Dual Casting Fix-92804-1-0-0-1685844352.7z
+,remove_slomo_sound,0,,d2024.3.12.0,C:/Users/Marius/Desktop/remove_slomo_sound.7z
+,Dialogue Movement Enabler VR,59816,https://www.nexusmods.com/skyrimspecialedition/mods/59816,2.2.0.0,Dialogue Movement Enabler VR-59816-2-2-0-1654850813.7z
+,Alchemy XP Fix VR,118746,https://www.nexusmods.com/skyrimspecialedition/mods/118746,1.0.0.1,Alchemy XP Fix VR-118746-1-0-0-1-1715061881.7z
+,Unaggressive Dragon Priests Fix,69026,https://www.nexusmods.com/skyrimspecialedition/mods/69026,1.3.1.0,Unaggressive Dragon Priests Fix-69026-1-3-1-1714315952.7z
+,Combat Music Fix NG Updated,110459,https://www.nexusmods.com/skyrimspecialedition/mods/110459,1.1.0.0,Combat Music Fix NG-110459-1-1-0-1706653528.7z
+,Smooth Carriage Ride VR,129594,https://www.nexusmods.com/skyrimspecialedition/mods/129594,0.5.0.0,SmoothCarriageRideVR-129594-0-5-1726695759.rar
+,Horse Mount and Dismount Double Sound Fix,99621,https://www.nexusmods.com/skyrimspecialedition/mods/99621,1.0.2.0,Horse Mount and Dismount Double Sound Fix-99621-1-0-2-1706717975.7z
+,Flayan's Tweaks,137944,https://www.nexusmods.com/skyrimspecialedition/mods/137944,1.0.0.0,Flayan's Tweaks-137944-1-0-0-1735838834.7z
+,VR Console Selection Fix,140752,https://www.nexusmods.com/skyrimspecialedition/mods/140752,1.2.1.0,Console Selection Fix 1.2.1-140752-1-2-1-1738808478.zip
+,Skyrim VR Tools,27782,https://www.nexusmods.com/skyrimspecialedition/mods/27782,2.3.0.0-BETA,SkyrimVRTools-27782-2-3-BETA-1590789255.zip
+,Skyrim Priority SE AE - CPU Performance FPS Optimizer,50129,https://www.nexusmods.com/skyrimspecialedition/mods/50129,3.4.0.0,Skyrim Priority SE AE-50129-3-4-0-1675213326.zip
+,DllLoader,3619,https://www.nexusmods.com/skyrimspecialedition/mods/3619,1.0.0.4,DllLoader-3619-1-0-0-4.zip
+,JContainers VR,16495,https://www.nexusmods.com/skyrimspecialedition/mods/16495,4.2.11.0,JContainers VR-16495-4-2-11-1710863450.7z
+,PapyrusUtil VR - Scripting Utility Functions,13048,https://www.nexusmods.com/skyrimspecialedition/mods/13048,3.6.0.0b,PapyrusUtil VR - Scripting Utility Functions-13048-3-6b-1545409528.zip
+,PapyrusUtil ESL Patch,106712,https://www.nexusmods.com/skyrimspecialedition/mods/106712,1.1.0.0,PapyrusUtil ESL Patch-106712-1-1-1710120108.zip
+,Papyrus Tweaks NG,77779,https://www.nexusmods.com/skyrimspecialedition/mods/77779,4.1.0.0,INI file for reference-77779-4-1-0-1677126223.rar
+,FileAccess Interface for Skyrim SE Scripts - FISSES,13956,https://www.nexusmods.com/skyrimspecialedition/mods/13956,1.3.5.0,FISSES DLL for VR-13956-1-3-5-1545666459.zip
+,powerofthree's Tweaks,51073,https://www.nexusmods.com/skyrimspecialedition/mods/51073,1.13.0.0,powerofthree's Tweaks-51073-1-13-1-1734636067.7z
+,powerofthree's Tweaks VR,59510,https://www.nexusmods.com/skyrimspecialedition/mods/59510,1.13.0.0,powerofthree's Tweaks VR-59510-1-13-0-1741928900.7z
+,Spell Perk Item Distributor (SPID) VR,59121,https://www.nexusmods.com/skyrimspecialedition/mods/59121,7.1.3.0,Spell Perk Item Distributor VR-59121-7-1-3-1716087780.7z
+,ConsoleUtilVR,47189,https://www.nexusmods.com/skyrimspecialedition/mods/47189,1.3.0.0,ConsoleUtilVR-47189-1-3-1631757413.zip
+,Crash Logger VR,59818,https://www.nexusmods.com/skyrimspecialedition/mods/59818,2024.3.31.0,SkyrimVR PDB-59818-2024-03-31-1711927516.7z
+,powerofthree's Papyrus Extender,22854,https://www.nexusmods.com/skyrimspecialedition/mods/22854,5.10.0.0,Papyrus Extender-22854-5-10-0-1741317512.7z
+,Papyrus Extender VR,58296,https://www.nexusmods.com/skyrimspecialedition/mods/58296,5.10.0.0,Papyrus Extender VR-58296-5-10-0-1741931181.7z
+,STATUS,23040,https://www.nexusmods.com/skyrimspecialedition/mods/23040,1.97.0.0,STATUS-23040-1-97-1548903155.7z
+,MCM Helper,53000,https://www.nexusmods.com/skyrimspecialedition/mods/53000,1.5.0.0,MCM Helper-53000-1-5-0-1702843613.7z
+,Base Object Swapper VR,61734,https://www.nexusmods.com/skyrimspecialedition/mods/61734,3.1.1.0,Base Object Swapper VR-61734-3-1-1-1720244303.7z
+,Simply Balanced,15541,https://www.nexusmods.com/skyrimspecialedition/mods/15541,1.4.7.0,Simply Balanced - 1.4.7-15541-1-4-7-1719230030.zip
+,MergeMapper,74689,https://www.nexusmods.com/skyrimspecialedition/mods/74689,1.5.0.0,MergeMapper-74689-1-5-0-1683883576.7z
+,VR Perk Extender,16330,https://www.nexusmods.com/skyrimspecialedition/mods/16330,2.0.0.0,SKSEVR Perk Extender-16330-2-0-1577426728.zip
+,Behavior Data Injector,78146,https://www.nexusmods.com/skyrimspecialedition/mods/78146,0.13.0.0,Behavior Data Injector-78146-v0-13-1667564855.7z
+,Behavior Data Injector Universal Support,78159,https://www.nexusmods.com/skyrimspecialedition/mods/78159,0.13.0.1,Behavior Data Injector Universal Support-78159-v0-13-0-1-1679695849.zip
+,Leveling Freedom - Configure your XP Curve - Gentler Smoother Steeper or Flat,69589,https://www.nexusmods.com/skyrimspecialedition/mods/69589,0.0.0.0.B,Leveling Freedom ESPFE-69589-0-B-1666405709.zip
+,Keyword Item Distributor,55728,https://www.nexusmods.com/skyrimspecialedition/mods/55728,3.4.0.0,Keyword Item Distributor-55728-3-4-0-1710234193.7z
+,More Informative Console,19250,https://www.nexusmods.com/skyrimspecialedition/mods/19250,1.2.2.0,More Informative Console 1.2.2-19250-1-2-2-1726885673.zip
+,Open Animation Replacer,92109,https://www.nexusmods.com/skyrimspecialedition/mods/92109,2.3.6.0,Open Animation Replacer-92109-2-3-6-1720373417.7z
+,Animation Queue Fix,82395,https://www.nexusmods.com/skyrimspecialedition/mods/82395,1.0.1.0,Animation Queue Fix-82395-1-0-1-1673338766.7z
+,Paired Animation Improvements,99621,https://www.nexusmods.com/skyrimspecialedition/mods/99621,1.0.2.0,Paired Animation Improvements-99621-1-0-2-1706671876.7z
+,SkyPatcher,106659,https://www.nexusmods.com/skyrimspecialedition/mods/106659,3.3.2.0,SkyPatcher - VR-106659-3-3-2-1731677556.zip
+,VR FPS Stabilizer,31392,https://www.nexusmods.com/skyrimspecialedition/mods/31392,1.4.6.0,VR FPS Stabilizer (FOMOD Installer)-31392-1-4-6-1702735955.rar
